feature_names,feature_importance
complaints_complaints_complaint_type_reclamation_total_nb_1m,8.0
complaints_complaints_complaint_status_resolu_duration_nb_2w,8.0
complaints_complaints_complaint_status_resolu_duration_nb_3w,8.0
payement_payment_way_crm_perc_paid_sum_2m,7.0
complaints_complaints_complaint_type_reclamation_total_sum_value_1_2,7.0
complaints_complaints_complaint_type_retention_total_nb_1m,7.0
complaints_complaints_complaint_status_resolu_duration_nb_1m,7.0
complaints_complaints_weekend_n_total_nb_2w,7.0
payement_payment_mode_especes_perc_paid_nb_3m,7.0
complaints_complaints_workingh_y_total_sum_value_2_3,6.0
payement_payment_way_ussd_perc_paid_nb_2m,6.0
payement_payment_mode_especes_perc_paid_value_1_2m_2_3m,6.0
complaints_complaints_complaint_type_retention_total_nb_2m,6.0
payement_payment_way_crm_perc_paid_sum_3m,6.0
payement_payment_way_ussd_perc_paid_value_1_2m_2_3m,6.0
complaints_complaints_complaint_status_resolu_total_sum_value_2_3,5.0
voice_destination_type_international_duration_value_1_3w_3_4w,5.0
complaints_complaints_complaint_type_reclamation_total_sum_value_2_3,4.0
payement_invoice_status_open_open_amount_sum_value_0_1,4.0
complaints_complaints_complaint_type_info_duration_nb_2m,4.0
payement_payment_way_crm_open_amount_nb_2m,4.0
complaints_complaints_weekend_n_duration_sum_3m,4.0
payement_payment_way_crm_perc_paid_sum_value_1_3,4.0
payement_payment_mode_especes_perc_paid_nb_1m,3.0
complaints_complaints_workingh_y_duration_nb_2w,3.0
complaints_complaints_complaint_type_info_total_sum_value_2_3,3.0
payement_payment_way_ussd_perc_paid_sum_value_1_2,3.0
complaints_complaints_workingh_y_duration_sum_3m,2.0
payement_payment_way_ussd_perc_paid_sum_1m,2.0
complaints_complaints_complaint_type_reclamation_total_sum_value_1_3w,2.0
complaints_complaints_weekend_n_total_sum_value_2_3,2.0
payement_payment_mode_especes_perc_paid_sum_value_0_1,2.0
complaints_complaints_complaint_type_reclamation_total_value_1_3w_3_4w,1.0
complaints_complaints_complaint_type_info_total_sum_value_1_2,1.0
payement_payment_way_crm_perc_paid_value_0_1m_1_3m,1.0
payement_payment_mode_na_open_amount_sum_value_0_1,1.0
payement_payment_way_crm_pay_total_delay_sum_2m,1.0
